input1,input2,input3,input4,input5,input6,input7,input8,input9,input10,input11,input12,input13,input14,input15,input16,input17,input18,input19,input20,input21,input22,output1,output2,output3,output4,output5,output6,output7,output8,output9,output10,output11,output12,output13,output14,output15,output16,output17
449538.24,16.651909,-2.35682,-1.326566,22.567547,4.269498,49.475498,-7.679719,65.882582,8.371521,377438.54,486.80249,506.95751,525.95599,-1.855451,79.317336,65.58351,349.2526,-30.456047,702.67194,1,1,449694.09,449653.52,449694.09,449694.09,7485941.1,-4.72561E+14,-12853428,34674723000.000000,16446805000.000000,-16296623000,-3.81402E+17,-1.6981E+137,161.50822,202084630000.000000,449617.51,156.66386,156.5823
407495.43,24.202264,-2.067424,-0.116958,29.421454,-4.565218,-6.950959,-6.471709,-24.040596,7.395253,373564.53,254.74665,537.33941,302.61917,305.11384,138.71633,137.17009,95.754467,2.504255,431.98417,1,1,407512.23,407471.35,407512.23,407512.23,9862045.1,2561681600000.000000,6697113.8,1532109200.000000,-227124360,287995920.000000,686789870000000.000000,4812207800000000749564161398459106304973102580668716072743991408222208151132785127896960590144565163702380296968929482920437798906264397655297915370599417004939820900384411835625998722329102293548921193677289556498758555348847994726880444083253669852027114376742830080.000000,22.41623,166052520000.000000,407494.06,17.470374,17.347501
349511.99,-3.754514,5.196028,5.429158,-33.650059,4.886948,-42.733381,1.841399,-59.561523,0.790559,282972.09,348.45104,519.67703,165.22774,89.968708,603.88908,0.536985,318.88749,243.72636,858.18849,1,1,349390.44,349372.05,349390.44,349390.44,-1312509.6,22555805000000.000000,1072621800.000000,2362729300.000000,-416677790,-138952390,5143820400000000.000000,9510510299999998949029799002112.000000,-116.01192,122158630000.000000,349461.63,-121.06671,-121.21377
205888.69,2.435927,1.435249,-2.103956,-21.664846,-5.289772,40.227594,-6.934114,12.715352,8.030299,377408.19,468.54317,446.66421,152.45848,43.625394,70.533483,198.48313,85.175817,503.50774,292.67917,1,1,205917.54,205925.27,205917.54,205917.54,501464.65,4943430300000.000000,2169238.1,-165717200,-107953990,153439950.000000,-2.3238E+14,-5.63155E+16,34.165366,42390153000.000000,205903.68,29.021308,28.921563
381287.88,12.129056,-1.808769,0.630581,13.772149,5.555877,-6.330649,-11.046926,63.267219,8.705406,263434.13,118.91074,27.01142,763.70502,13.953933,407.46139,193.88109,197.22246,259.97583,74.990677,1,1,381372.76,381340.81,381372.76,381372.76,4625358.2,-1.55459E+13,-930923.31,945672730.000000,-1062456700,22367964000.000000,-1.17986E+17,-5.0242E+79,90.455198,145380450000.000000,381362.44,85.455516,85.317456
487510.67,17.287863,1.083422,-0.687122,1.290264,-4.411705,5.645837,-1.126385,-21.509246,-12.604939,178425.28,109.17014,630.77385,549.21047,204.30395,344.30704,112.27549,221.80164,774.57398,-61.483104,1,1,487495.64,487498.73,487495.64,487495.64,8428275.9,-61577707000,-111225.64,-1046457100,324492040.000000,-438248340,2749650000000000.000000,159093640000000016740082062439928840419964858653944024812538142232375914373644518202383189329805896478972628625911704084003053404194502411812864.000000,-9.344026,237666660000.000000,487494.59,-14.081263,-14.104972
355072.63,17.034407,6.309647,5.875729,-39.792856,2.957133,13.217006,4.018662,-34.707107,-0.332249,338269.73,478.08703,154.30066,341.83776,150.15505,343.09886,154.74699,147.42385,750.92476,287.1208,1,1,355047.21,354988.1,355047.21,355047.21,6048435.7,-1.61616E+13,-103484320,-1000127700,5360296000.000000,7041838900.000000,1579054600000000000.000000,27885956999999998471596323749349970577281141892223901619846525502350819548350949160362064156015431044640613973701448291114704374751596042612105610069188542464.000000,-19.869311,126076570000.000000,355069.78,-24.915279,-25.061452
277311.69,15.503618,-0.240126,-2.819768,-38.985085,-3.226782,-35.896311,-8.738543,5.397171,11.178803,275339.72,174.31008,14.968041,611.82562,25.445324,28.41607,47.627837,349.94589,626.4162,-40.189476,1,1,277253.87,277230.07,277253.87,277253.87,4299835,6930611300000.000000,36498.139,121971960.000000,-1428308100,337449790.000000,982340830000000.000000,18345181999999999367626171575357334540441186896074834298852358004839481554233753500189673681290385063204881949649797120.000000,-52.384054,76901776000.000000,277329.79,-57.519389,-57.656394
42805.253,17.529554,6.361121,-1.175502,20.109907,4.351084,-44.87481,-5.856791,69.49566,-18.269062,368950.27,172.33392,49.263142,804.25972,77.720159,533.6063,95.82293,419.71124,-12.501393,540.37194,1,1,42852.924,42859.766,42852.924,42852.924,749430.23,163820750000000.000000,1780054.6,-28936291000,-10934842000,8811583500.000000,-4.94401E+16,-4.217E+163,52.302658,1832289700.000000,42874.564,47.678491,47.671788
360725.21,8.291174,4.288363,-5.372855,4.708497,1.418114,-24.108254,-6.700379,-15.577099,-7.345803,290265.11,404.73908,72.287068,646.7726,219.71517,36.50774,-38.078037,248.75715,759.2389,466.54064,1,1,360684.81,360704.23,360684.81,360684.81,2991094.9,-8.50499E+12,-879694.03,-44618479000,-6865869800,-4174715900,287684290000000000.000000,15803440999999999793941197981005621464969061467160576.000000,-34.841066,130122670000.000000,360702.46,-39.877708,-40.022687
