,true_output1,true_output2,pred_output1,pred_output2
7692,31416.981,31427.613,42709.52807038839,42681.28406310685
7693,63701.049,63649.012,69504.72317269086,69485.06758232943
7694,199309.4,199258.51,185616.72356725138,185603.2415984406
7695,397555.54,397568.46,397781.09172413754,397780.57758620655
7696,351115.52,351115.55,339634.8082961464,339626.06835699774
7697,267292.82,267320.55,274669.525366379,274663.15323275834
7698,77115.657,77063.632,69504.72317269086,69485.06758232943
7699,350820.97,350796.53,339634.8082961464,339626.06835699774
7700,219567.92,219564.21,217929.90592885367,217921.5533399206
7701,245476.04,245493.76,247739.99689223093,247728.81476190523
7702,319513.33,319467.13,307448.0030952381,307425.7603296702
7703,495574.06,495615.83,485093.7721111117,485078.81402222347
7704,106308.15,106310.55,101609.11073062735,101593.25798154983
7705,220607.82,220604.5,217929.90592885367,217921.5533399206
7706,292904.15,292901.62,307448.0030952381,307425.7603296702
7707,415877.43,415872.22,424338.6673650791,424324.22552380926
7708,310255.03,310214.27,307448.0030952381,307425.7603296702
7709,324525.26,324487.77,339634.8082961464,339626.06835699774
7710,202328.98,202321.82,217929.90592885367,217921.5533399206
7711,371605.44,371575.88,369165.9787337051,369158.3872067035
7712,440418.17,440402.12,424338.6673650791,424324.22552380926
7713,399898.27,399906.82,397781.09172413754,397780.57758620655
7714,194453.14,194373.99,185616.72356725138,185603.2415984406
7715,475908.28,475911.47,485093.7721111117,485078.81402222347
7716,312953.02,312924.81,307448.0030952381,307425.7603296702
7717,415201.69,415155.15,424338.6673650791,424324.22552380926
7718,414681.6,414684.2,424338.6673650791,424324.22552380926
7719,326657.35,326643.9,339634.8082961464,339626.06835699774
7720,42702.798,42666.259,42709.52807038839,42681.28406310685
7721,186238.24,186216.9,185616.72356725138,185603.2415984406
7722,454339.05,454280.18,455285.4115738498,455270.39508474537
7723,84490.309,84451.508,69504.72317269086,69485.06758232943
7724,366387.52,366336.86,369165.9787337051,369158.3872067035
7725,420478.56,420496.6,424338.6673650791,424324.22552380926
7726,261390.88,261466.71,274669.525366379,274663.15323275834
7727,181254.17,181236.41,185616.72356725138,185603.2415984406
7728,222004.55,222018.35,217929.90592885367,217921.5533399206
7729,304023.93,303957.45,307448.0030952381,307425.7603296702
7730,44492.935,44503.06,42709.52807038839,42681.28406310685
7731,42178.109,42194.398,42709.52807038839,42681.28406310685
7732,103962.73,103924.41,101609.11073062735,101593.25798154983
7733,397858.7,397860.45,397781.09172413754,397780.57758620655
7734,214927.05,214927.26,217929.90592885367,217921.5533399206
7735,252856.9,252852.66,247739.99689223093,247728.81476190523
7736,213924.13,213951.62,217929.90592885367,217921.5533399206
7737,93850.525,93861.954,101609.11073062735,101593.25798154983
7738,116713.0,116719.0,130154.50997333344,130144.92600000014
7739,359744.58,359702.76,369165.9787337051,369158.3872067035
7740,475485.66,475483.74,485093.7721111117,485078.81402222347
7741,164657.73,164633.21,156847.65178260874,156836.5041304347
7742,38195.683,38157.923,42709.52807038839,42681.28406310685
7743,482330.06,482336.13,485093.7721111117,485078.81402222347
7744,334320.24,334296.09,339634.8082961464,339626.06835699774
7745,105432.96,105388.01,101609.11073062735,101593.25798154983
7746,352540.5,352514.41,339634.8082961464,339626.06835699774
7747,74176.692,74161.016,69504.72317269086,69485.06758232943
7748,42203.179,42159.769,42709.52807038839,42681.28406310685
7749,120021.96,119979.0,130154.50997333344,130144.92600000014
7750,329494.12,329527.88,339634.8082961464,339626.06835699774
7751,87946.068,87949.465,101609.11073062735,101593.25798154983
7752,80687.085,80626.121,69504.72317269086,69485.06758232943
7753,481025.43,480939.68,485093.7721111117,485078.81402222347
7754,388433.4,388388.49,397781.09172413754,397780.57758620655
7755,404888.95,404868.25,397781.09172413754,397780.57758620655
7756,451093.12,451038.08,455285.4115738498,455270.39508474537
7757,97538.968,97493.328,101609.11073062735,101593.25798154983
7758,76645.984,76648.407,69504.72317269086,69485.06758232943
7759,34784.171,34764.722,42709.52807038839,42681.28406310685
7760,312609.23,312612.91,307448.0030952381,307425.7603296702
7761,210014.35,209976.32,217929.90592885367,217921.5533399206
7762,102466.69,102418.39,101609.11073062735,101593.25798154983
7763,194603.45,194547.08,185616.72356725138,185603.2415984406
7764,95167.129,95194.531,101609.11073062735,101593.25798154983
7765,140079.04,140104.78,130154.50997333344,130144.92600000014
7766,475058.09,475042.66,485093.7721111117,485078.81402222347
7767,263816.69,263846.07,274669.525366379,274663.15323275834
7768,159343.41,159296.51,156847.65178260874,156836.5041304347
7769,112038.4,112061.4,101609.11073062735,101593.25798154983
7770,339385.36,339385.31,339634.8082961464,339626.06835699774
7771,464555.45,464509.52,455285.4115738498,455270.39508474537
7772,386696.66,386745.83,397781.09172413754,397780.57758620655
7773,397988.36,398014.72,397781.09172413754,397780.57758620655
7774,237793.96,237751.68,247739.99689223093,247728.81476190523
7775,463029.9,463073.14,455285.4115738498,455270.39508474537
7776,221037.38,221085.44,217929.90592885367,217921.5533399206
7777,174186.66,174194.5,185616.72356725138,185603.2415984406
7778,368441.81,368491.95,369165.9787337051,369158.3872067035
7779,100628.02,100628.01,101609.11073062735,101593.25798154983
7780,88180.141,88168.935,101609.11073062735,101593.25798154983
7781,296774.32,296792.59,307448.0030952381,307425.7603296702
7782,212062.08,212056.03,217929.90592885367,217921.5533399206
7783,182995.25,183033.2,185616.72356725138,185603.2415984406
7784,323218.44,323185.06,307448.0030952381,307425.7603296702
7785,30265.891,30285.13,42709.52807038839,42681.28406310685
7786,256677.19,256656.97,247739.99689223093,247728.81476190523
7787,348743.62,348717.47,339634.8082961464,339626.06835699774
7788,397699.63,397697.7,397781.09172413754,397780.57758620655
7789,65543.148,65512.633,69504.72317269086,69485.06758232943
7790,229367.23,229383.76,217929.90592885367,217921.5533399206
7791,170099.63,170096.61,156847.65178260874,156836.5041304347
7792,48178.195,48139.881,42709.52807038839,42681.28406310685
7793,219417.71,219369.61,217929.90592885367,217921.5533399206
7794,404321.75,404320.41,397781.09172413754,397780.57758620655
7795,222287.12,222298.0,217929.90592885367,217921.5533399206
7796,237032.36,236979.7,247739.99689223093,247728.81476190523
7797,200318.34,200327.6,185616.72356725138,185603.2415984406
7798,76698.757,76674.082,69504.72317269086,69485.06758232943
7799,344013.18,344005.25,339634.8082961464,339626.06835699774
7800,218178.12,218104.87,217929.90592885367,217921.5533399206
7801,211818.2,211802.24,217929.90592885367,217921.5533399206
7802,254769.45,254744.18,247739.99689223093,247728.81476190523
7803,215101.07,215053.31,217929.90592885367,217921.5533399206
7804,311647.9,311591.2,307448.0030952381,307425.7603296702
7805,49736.866,49698.617,42709.52807038839,42681.28406310685
7806,60106.994,60126.778,69504.72317269086,69485.06758232943
7807,341425.36,341402.76,339634.8082961464,339626.06835699774
7808,200204.19,200186.82,185616.72356725138,185603.2415984406
7809,278566.91,278602.93,274669.525366379,274663.15323275834
7810,186965.29,186921.98,185616.72356725138,185603.2415984406
7811,387071.47,387087.39,397781.09172413754,397780.57758620655
7812,436291.33,436282.55,424338.6673650791,424324.22552380926
7813,125937.8,125910.22,130154.50997333344,130144.92600000014
7814,144861.85,144900.88,156847.65178260874,156836.5041304347
7815,38594.982,38565.302,42709.52807038839,42681.28406310685
7816,299425.8,299379.84,307448.0030952381,307425.7603296702
7817,383212.86,383233.31,369165.9787337051,369158.3872067035
7818,299607.42,299605.96,307448.0030952381,307425.7603296702
7819,441620.47,441643.01,455285.4115738498,455270.39508474537
7820,376759.62,376795.44,369165.9787337051,369158.3872067035
7821,286556.16,286544.38,274669.525366379,274663.15323275834
7822,420948.15,420944.34,424338.6673650791,424324.22552380926
7823,40188.328,40131.986,42709.52807038839,42681.28406310685
7824,281893.11,281930.35,274669.525366379,274663.15323275834
7825,89926.819,89933.675,101609.11073062735,101593.25798154983
7826,115360.67,115335.86,101609.11073062735,101593.25798154983
7827,162541.14,162541.76,156847.65178260874,156836.5041304347
7828,340148.64,340110.2,339634.8082961464,339626.06835699774
7829,268093.9,268108.88,274669.525366379,274663.15323275834
7830,220377.56,220403.77,217929.90592885367,217921.5533399206
7831,433916.59,433954.49,424338.6673650791,424324.22552380926
7832,384818.3,384812.03,397781.09172413754,397780.57758620655
7833,135378.16,135396.08,130154.50997333344,130144.92600000014
7834,372104.76,372055.15,369165.9787337051,369158.3872067035
7835,361931.92,361942.57,369165.9787337051,369158.3872067035
7836,378289.02,378290.38,369165.9787337051,369158.3872067035
7837,252297.1,252277.15,247739.99689223093,247728.81476190523
7838,248962.65,248909.48,247739.99689223093,247728.81476190523
7839,387300.12,387309.55,397781.09172413754,397780.57758620655
